State_Name,District_Name,Crop_Year,Season,Crop,Area,Production,Yield_calc,StateCrop_Yield,Crop_Yield,State_Yield,Yield_filled,StateCrop_ProdMed,Crop_ProdMed,N,P,K,ph,temperature,rainfall,Fertilizer_avg
West Bengal,DINAJPUR DAKSHIN,2014,Rabi       ,Safflower,1,1,1,0.753051111,0.543941794,53.3348132,1,24,85,69.52290026,20.70819361,17.80626803,6.469480065,25.61624385,103.4636554,66.48743316
Madhya Pradesh,RAJGARH,2007,Whole Year ,Sweet potato,167,1132,6.778443114,5.77271395,8.848028918,3.063059939,6.778443114,282,446.5,69.52290026,20.70819361,17.80626803,6.469480065,25.61624385,103.4636554,66.48743316
Karnataka,MYSORE,2006,Rabi       ,Horse-gram,37818,13545,0.35816278,0.468374538,0.453746091,4.431194149,0.35816278,892,300.35,69.52290026,20.70819361,17.80626803,6.469480065,25.61624385,103.4636554,66.48743316
Bihar,KHAGARIA,2002,Kharif     ,Sunflower,979,1351,1.379979571,1.284612896,0.944233258,3.509813832,1.379979571,54,180,69.52290026,20.70819361,17.80626803,6.469480065,25.61624385,103.4636554,66.48743316
West Bengal,NADIA,2008,Whole Year ,Arecanut,358,982,2.74301676,2.013950035,2.163931621,53.3348132,2.74301676,383,1506,69.52290026,20.70819361,17.80626803,6.469480065,25.61624385,103.4636554,66.48743316
Maharashtra,AMRAVATI,2008,Kharif     ,Sesamum,100,100,1,0.331409078,0.459043106,4.367612637,1,200,161.1,69.52290026,20.70819361,17.80626803,6.469480065,25.61624385,103.4636554,66.48743316
Madhya Pradesh,MORENA,2009,Whole Year ,Masoor,854,441,0.516393443,0.476749768,0.701271409,3.063059939,0.516393443,1888.5,531,69.52290026,20.70819361,17.80626803,6.469480065,25.61624385,103.4636554,66.48743316
Haryana,AMBALA,2004,Kharif     ,Groundnut,7,5.04458796,,0.720655423,1.195073612,7.055328564,0.720655423,60.06916631,929.5,69.52290026,20.70819361,17.80626803,6.469480065,25.61624385,103.4636554,66.48743316
Odisha,JAGATSINGHAPUR,2012,Summer     ,Rice,210000,2000,0.00952381,1.533852841,1.995013791,3.72545989,0.00952381,42000,30519,69.52290026,20.70819361,17.80626803,6.469480065,25.61624385,103.4636554,66.48743316
Maharashtra,PARBHANI,2003,Kharif     ,other oilseeds,500,200,0.4,0.258639321,1.574470875,4.367612637,0.4,100,73,69.52290026,20.70819361,17.80626803,6.469480065,25.61624385,103.4636554,66.48743316
West Bengal,JALPAIGURI,2002,Kharif     ,Mesta,378,3281,8.67989418,9.568299602,5.566799498,53.3348132,8.67989418,3155,356,69.52290026,20.70819361,17.80626803,6.469480065,25.61624385,103.4636554,66.48743316
Uttar Pradesh,SANT KABEER NAGAR,2006,Summer     ,Onion,38,443,11.65789474,14.37844593,11.85524334,5.28464394,11.65789474,1426,1718,69.52290026,20.70819361,17.80626803,6.469480065,25.61624385,103.4636554,66.48743316
West Bengal,DINAJPUR UTTAR,2009,Summer     ,Moong(Green Gram),131,73,0.557251908,0.611839457,0.452434518,53.3348132,0.557251908,51.5,129.75,69.52290026,20.70819361,17.80626803,6.469480065,25.61624385,103.4636554,66.48743316
Uttar Pradesh,PILIBHIT,2003,Summer     ,Maize,87,119,1.367816092,1.64965243,2.632769546,5.28464394,1.367816092,501.5,2280,69.52290026,20.70819361,17.80626803,6.469480065,25.61624385,103.4636554,66.48743316
Rajasthan,SIKAR,2010,Whole Year ,Sweet potato,98,490,5,2.345367499,8.848028918,2.841470918,5,39,446.5,69.52290026,20.70819361,17.80626803,6.469480065,25.61624385,103.4636554,66.48743316
Madhya Pradesh,DHAR,2001,Whole Year ,Sannhamp,206,295,1.432038835,1.575699692,1.200309682,3.063059939,1.432038835,56,20,69.52290026,20.70819361,17.80626803,6.469480065,25.61624385,103.4636554,66.48743316
Uttar Pradesh,GHAZIPUR,2006,Whole Year ,Guar seed,22,18,0.818181818,0.832088422,0.980180161,5.28464394,0.818181818,22,95,69.52290026,20.70819361,17.80626803,6.469480065,25.61624385,103.4636554,66.48743316
Bihar,PASHCHIM CHAMPARAN,2013,Rabi       ,Other  Rabi pulses,102,103,1.009803922,0.803416567,0.638675715,3.509813832,1.009803922,73,141.55,69.52290026,20.70819361,17.80626803,6.469480065,25.61624385,103.4636554,66.48743316
Andhra Pradesh,VIZIANAGARAM,2003,Rabi       ,Jowar,38,71,1.868421053,1.650762115,1.048582467,195.1385872,1.868421053,692.5,2000,69.52290026,20.70819361,17.80626803,6.469480065,25.61624385,103.4636554,66.48743316
Uttar Pradesh,BAGHPAT,2009,Rabi       ,Masoor,70,56,0.8,0.814028757,0.701271409,5.28464394,0.8,1361,531,69.52290026,20.70819361,17.80626803,6.469480065,25.61624385,103.4636554,66.48743316
Andhra Pradesh,PRAKASAM,2008,Kharif     ,Cotton(lint),40781,131459,3.22353547,2.100200168,2.063290356,195.1385872,3.22353547,16128,3000,69.52290026,20.70819361,17.80626803,6.469480065,25.61624385,103.4636554,66.48743316
Uttar Pradesh,GHAZIABAD,2007,Summer     ,Maize,37,53,1.432432432,1.64965243,2.632769546,5.28464394,1.432432432,501.5,2280,69.52290026,20.70819361,17.80626803,6.469480065,25.61624385,103.4636554,66.48743316
Assam,KOKRAJHAR,2009,Rabi       ,Urad,1103,558,0.505893019,0.552386355,0.493911727,148.6304681,0.505893019,654.5,366,69.52290026,20.70819361,17.80626803,6.469480065,25.61624385,103.4636554,66.48743316
Karnataka,GULBARGA,2011,Kharif     ,Other Kharif pulses,914,478,0.52297593,0.559002024,0.501818458,4.431194149,0.52297593,1000,200,69.52290026,20.70819361,17.80626803,6.469480065,25.61624385,103.4636554,66.48743316
Bihar,SAHARSA,2002,Whole Year ,Sannhamp,113,80,0.707964602,1.461203265,1.200309682,3.509813832,0.707964602,38.5,20,69.52290026,20.70819361,17.80626803,6.469480065,25.61624385,103.4636554,66.48743316
Rajasthan,JODHPUR,2005,Rabi       ,Other  Rabi pulses,98,124.1575818,,1.2669141,0.638675715,2.841470918,1.2669141,67,141.55,69.52290026,20.70819361,17.80626803,6.469480065,25.61624385,103.4636554,66.48743316
Bihar,SAMASTIPUR,1999,Rabi       ,Khesari,404,225,0.556930693,0.858925911,0.787006317,3.509813832,0.556930693,931,742,69.52290026,20.70819361,17.80626803,6.469480065,25.61624385,103.4636554,66.48743316
Madhya Pradesh,TIKAMGARH,2011,Kharif     ,Mesta,2,2,1,1.476299929,5.566799498,3.063059939,1,24,356,69.52290026,20.70819361,17.80626803,6.469480065,25.61624385,103.4636554,66.48743316
Madhya Pradesh,DAMOH,2002,Kharif     ,Small millets,1128,163,0.144503546,0.322236972,0.65997565,3.063059939,0.144503546,400,211.5,69.52290026,20.70819361,17.80626803,6.469480065,25.61624385,103.4636554,66.48743316
Telangana,MEDAK,2009,Kharif     ,Urad,23743,12649.36363,,0.532761809,0.493911727,101.2110173,0.532761809,878,366,69.52290026,20.70819361,17.80626803,6.469480065,25.61624385,103.4636554,66.48743316
Karnataka,HAVERI,2003,Kharif     ,Groundnut,18533,5928,0.319861868,0.868753623,1.195073612,4.431194149,0.319861868,4372,929.5,69.52290026,20.70819361,17.80626803,6.469480065,25.61624385,103.4636554,66.48743316
Madhya Pradesh,SHEOPUR,1999,Rabi       ,Wheat,46907,117016,2.494638327,1.885257359,2.092278562,3.063059939,2.494638327,150686.5,58988,69.52290026,20.70819361,17.80626803,6.469480065,25.61624385,103.4636554,66.48743316
Bihar,BHAGALPUR,2006,Summer     ,Moong(Green Gram),431,227,0.526682135,0.613560647,0.452434518,3.509813832,0.526682135,153,129.75,69.52290026,20.70819361,17.80626803,6.469480065,25.61624385,103.4636554,66.48743316
Madhya Pradesh,JABALPUR,2002,Whole Year ,Sannhamp,39,89,2.282051282,1.575699692,1.200309682,3.063059939,2.282051282,56,20,69.52290026,20.70819361,17.80626803,6.469480065,25.61624385,103.4636554,66.48743316
Bihar,KISHANGANJ,2004,Whole Year ,Turmeric,59,58,0.983050847,1.065822776,2.755895142,3.509813832,0.983050847,41,125.5,69.52290026,20.70819361,17.80626803,6.469480065,25.61624385,103.4636554,66.48743316
Assam,KAMRUP,2014,Rabi       ,Peas & beans (Pulses),1516,1731,1.14182058,0.653987517,1.266965015,148.6304681,1.14182058,363,340,69.52290026,20.70819361,17.80626803,6.469480065,25.61624385,103.4636554,66.48743316
Uttar Pradesh,MUZAFFARNAGAR,2008,Kharif     ,Dry chillies,206,205,0.995145631,0.893677011,1.372475632,5.28464394,0.995145631,61,259,69.52290026,20.70819361,17.80626803,6.469480065,25.61624385,103.4636554,66.48743316
Uttar Pradesh,UNNAO,2013,Rabi       ,Linseed,94,38,0.404255319,0.427932509,0.521592271,5.28464394,0.404255319,20,146,69.52290026,20.70819361,17.80626803,6.469480065,25.61624385,103.4636554,66.48743316
Tamil Nadu,KARUR,2013,Rabi       ,Moong(Green Gram),175,141,0.805714286,0.468248863,0.452434518,65.28759321,0.805714286,822,129.75,69.52290026,20.70819361,17.80626803,6.469480065,25.61624385,103.4636554,66.48743316
Bihar,KHAGARIA,2003,Rabi       ,Masoor,908,682,0.751101322,0.829080313,0.701271409,3.509813832,0.751101322,1715,531,69.52290026,20.70819361,17.80626803,6.469480065,25.61624385,103.4636554,66.48743316
Tamil Nadu,PUDUKKOTTAI,2009,Whole Year ,Cotton(lint),13,35,2.692307692,2.06263101,2.063290356,65.28759321,2.692307692,4336,3000,69.52290026,20.70819361,17.80626803,6.469480065,25.61624385,103.4636554,66.48743316
Uttar Pradesh,BAREILLY,2002,Kharif     ,Sesamum,1088,79,0.072610294,0.169634993,0.459043106,5.28464394,0.072610294,71,161.1,69.52290026,20.70819361,17.80626803,6.469480065,25.61624385,103.4636554,66.48743316
Telangana,NIZAMABAD,2003,Kharif     ,Korra,2242,1276,0.569134701,0.578994316,0.678231629,101.2110173,0.569134701,100,100,69.52290026,20.70819361,17.80626803,6.469480065,25.61624385,103.4636554,66.48743316
Karnataka,BANGALORE RURAL,2009,Whole Year ,Sweet potato,8,53,6.625,9.001442888,8.848028918,4.431194149,6.625,256,446.5,69.52290026,20.70819361,17.80626803,6.469480065,25.61624385,103.4636554,66.48743316
Uttar Pradesh,PRATAPGARH,2003,Rabi       ,Ragi,7,10,1.428571429,1.448050038,1.198069892,5.28464394,1.428571429,9,311,69.52290026,20.70819361,17.80626803,6.469480065,25.61624385,103.4636554,66.48743316
Uttar Pradesh,GHAZIPUR,2011,Kharif     ,Sesamum,43,9,0.209302326,0.169634993,0.459043106,5.28464394,0.209302326,71,161.1,69.52290026,20.70819361,17.80626803,6.469480065,25.61624385,103.4636554,66.48743316
Bihar,SAHARSA,2001,Rabi       ,Barley,93,117,1.258064516,1.189861602,1.822868366,3.509813832,1.258064516,223,1287,69.52290026,20.70819361,17.80626803,6.469480065,25.61624385,103.4636554,66.48743316
Uttar Pradesh,SHAHJAHANPUR,1997,Kharif     ,Urad,10498,4378,0.417031816,0.541431909,0.493911727,5.28464394,0.417031816,306,366,69.52290026,20.70819361,17.80626803,6.469480065,25.61624385,103.4636554,66.48743316
Madhya Pradesh,JABALPUR,2011,Whole Year ,Coriander,676,197,0.291420118,0.357207343,0.498316264,3.063059939,0.291420118,125.5,36,69.52290026,20.70819361,17.80626803,6.469480065,25.61624385,103.4636554,66.48743316
Assam,CACHAR,1998,Whole Year ,Tobacco,9,6,0.666666667,0.594228465,1.93186594,148.6304681,0.666666667,6,61,69.52290026,20.70819361,17.80626803,6.469480065,25.61624385,103.4636554,66.48743316
Madhya Pradesh,BHOPAL,2006,Kharif     ,Jute,44,83,1.886363636,2.074711324,9.456482539,3.063059939,1.886363636,106,4800,69.52290026,20.70819361,17.80626803,6.469480065,25.61624385,103.4636554,66.48743316
Uttar Pradesh,MAU,2006,Kharif     ,Dry ginger,3,9,3,3.244449405,5.369407339,5.28464394,3,11,252,69.52290026,20.70819361,17.80626803,6.469480065,25.61624385,103.4636554,66.48743316
Kerala,PALAKKAD,2001,Whole Year ,Cardamom,2754,190,0.068990559,0.091937789,0.128574169,381.2722306,0.068990559,20.2263136,24,69.52290026,20.70819361,17.80626803,6.469480065,25.61624385,103.4636554,66.48743316
Bihar,AURANGABAD,2000,Kharif     ,Sesamum,130,72,0.553846154,0.752569789,0.459043106,3.509813832,0.553846154,32,161.1,69.52290026,20.70819361,17.80626803,6.469480065,25.61624385,103.4636554,66.48743316
Uttar Pradesh,BARABANKI,1998,Kharif     ,Ragi,5,6,1.2,1.448050038,1.198069892,5.28464394,1.2,9,311,69.52290026,20.70819361,17.80626803,6.469480065,25.61624385,103.4636554,66.48743316
Tripura,SEPAHIJALA,2013,Rabi       ,Moong(Green Gram),24,12,0.5,0.546416232,0.452434518,4.740502046,0.5,40,129.75,69.52290026,20.70819361,17.80626803,6.469480065,25.61624385,103.4636554,66.48743316
Tamil Nadu,TIRUCHIRAPPALLI,2012,Kharif     ,Groundnut,8482,21436,2.527234143,2.138759598,1.195073612,65.28759321,2.527234143,19569.5,929.5,69.52290026,20.70819361,17.80626803,6.469480065,25.61624385,103.4636554,66.48743316
Uttar Pradesh,CHITRAKOOT,2007,Kharif     ,Dry chillies,26,25,0.961538462,0.893677011,1.372475632,5.28464394,0.961538462,61,259,69.52290026,20.70819361,17.80626803,6.469480065,25.61624385,103.4636554,66.48743316
Uttar Pradesh,PILIBHIT,1999,Rabi       ,Wheat,140527,489298,3.481878927,2.762904026,2.092278562,5.28464394,3.481878927,330807,58988,69.52290026,20.70819361,17.80626803,6.469480065,25.61624385,103.4636554,66.48743316
Assam,LAKHIMPUR,2005,Kharif     ,Cotton(lint),15,6,0.4,0.479062038,2.063290356,148.6304681,0.4,5,3000,69.52290026,20.70819361,17.80626803,6.469480065,25.61624385,103.4636554,66.48743316
Kerala,ERNAKULAM,2002,Whole Year ,Sweet potato,11,124,11.27272727,11.97941994,8.848028918,381.2722306,11.27272727,144,446.5,69.52290026,20.70819361,17.80626803,6.469480065,25.61624385,103.4636554,66.48743316
Madhya Pradesh,GWALIOR,2000,Kharif     ,Bajra,2305,4981,2.160954447,1.019267099,1.173871632,3.063059939,2.160954447,79,1649,69.52290026,20.70819361,17.80626803,6.469480065,25.61624385,103.4636554,66.48743316
Assam,MARIGAON,1998,Kharif     ,Mesta,279,961,3.444444444,4.90743549,5.566799498,148.6304681,3.444444444,461,356,69.52290026,20.70819361,17.80626803,6.469480065,25.61624385,103.4636554,66.48743316
Gujarat,BANAS KANTHA,2001,Kharif     ,Urad,3600,2000,0.555555556,0.610665042,0.493911727,5.716670782,0.555555556,1650,366,69.52290026,20.70819361,17.80626803,6.469480065,25.61624385,103.4636554,66.48743316
Karnataka,GULBARGA,2008,Kharif     ,Rice,47292,122202.53,2.584000042,2.612086501,1.995013791,4.431194149,2.584000042,11522,30519,69.52290026,20.70819361,17.80626803,6.469480065,25.61624385,103.4636554,66.48743316
Uttar Pradesh,AZAMGARH,2014,Kharif     ,Sannhamp,26,10,0.384615385,0.323804803,1.200309682,5.28464394,0.384615385,7,20,69.52290026,20.70819361,17.80626803,6.469480065,25.61624385,103.4636554,66.48743316
Andhra Pradesh,SPSR NELLORE,2000,Kharif     ,Maize,51,133,2.607843137,4.833392654,2.632769546,195.1385872,2.607843137,9138,2280,69.52290026,20.70819361,17.80626803,6.469480065,25.61624385,103.4636554,66.48743316
Maharashtra,AMRAVATI,2011,Kharif     ,Castor seed,200,100,0.5,0.370805097,0.694474838,4.367612637,0.5,100,54,69.52290026,20.70819361,17.80626803,6.469480065,25.61624385,103.4636554,66.48743316
Uttar Pradesh,AMBEDKAR NAGAR,2000,Kharif     ,Jowar,1439,1097,0.762334955,0.984565707,1.048582467,5.28464394,0.762334955,1221,2000,69.52290026,20.70819361,17.80626803,6.469480065,25.61624385,103.4636554,66.48743316
West Bengal,DINAJPUR DAKSHIN,2001,Winter     ,Rice,164688,309544,1.879578354,2.429587219,1.995013791,53.3348132,1.879578354,159255,30519,69.52290026,20.70819361,17.80626803,6.469480065,25.61624385,103.4636554,66.48743316
Uttar Pradesh,ETAWAH,2014,Rabi       ,Garlic,4214,24409,5.792358804,5.17838749,3.320252292,5.28464394,5.792358804,239.5,162,69.52290026,20.70819361,17.80626803,6.469480065,25.61624385,103.4636554,66.48743316
Bihar,KISHANGANJ,1999,Kharif     ,Arhar/Tur,66,78,1.181818182,1.390794841,0.797442842,3.509813832,1.181818182,688,878,69.52290026,20.70819361,17.80626803,6.469480065,25.61624385,103.4636554,66.48743316
Madhya Pradesh,UJJAIN,1998,Kharif     ,Soyabean,414600,572600,1.381090207,0.909333153,1.048275962,3.063059939,1.381090207,51546.5,1219,69.52290026,20.70819361,17.80626803,6.469480065,25.61624385,103.4636554,66.48743316
Tamil Nadu,MADURAI,2004,Whole Year ,Dry chillies,608,405,0.666118421,0.657348232,1.372475632,65.28759321,0.666118421,383,259,69.52290026,20.70819361,17.80626803,6.469480065,25.61624385,103.4636554,66.48743316
Madhya Pradesh,KHANDWA,2008,Rabi       ,Peas & beans (Pulses),426,139,0.32629108,0.487900121,1.266965015,3.063059939,0.32629108,582,340,69.52290026,20.70819361,17.80626803,6.469480065,25.61624385,103.4636554,66.48743316
Tamil Nadu,TUTICORIN,2004,Whole Year ,Dry chillies,18935,7865,0.415368365,0.657348232,1.372475632,65.28759321,0.415368365,383,259,69.52290026,20.70819361,17.80626803,6.469480065,25.61624385,103.4636554,66.48743316
Uttar Pradesh,SAHARANPUR,2013,Kharif     ,Urad,858,383,0.446386946,0.541431909,0.493911727,5.28464394,0.446386946,306,366,69.52290026,20.70819361,17.80626803,6.469480065,25.61624385,103.4636554,66.48743316
Uttar Pradesh,GHAZIABAD,2010,Kharif     ,Jowar,15,12,0.8,0.984565707,1.048582467,5.28464394,0.8,1221,2000,69.52290026,20.70819361,17.80626803,6.469480065,25.61624385,103.4636554,66.48743316
Uttar Pradesh,UNNAO,1999,Rabi       ,Linseed,399,175,0.438596491,0.427932509,0.521592271,5.28464394,0.438596491,20,146,69.52290026,20.70819361,17.80626803,6.469480065,25.61624385,103.4636554,66.48743316
Uttar Pradesh,VARANASI,2014,Rabi       ,Wheat,68617,127010,1.850999024,2.762904026,2.092278562,5.28464394,1.850999024,330807,58988,69.52290026,20.70819361,17.80626803,6.469480065,25.61624385,103.4636554,66.48743316
Chhattisgarh,RAJNANDGAON,2009,Whole Year ,Sannhamp,22,7,0.318181818,0.486689896,1.200309682,2.179585844,0.318181818,19,20,69.52290026,20.70819361,17.80626803,6.469480065,25.61624385,103.4636554,66.48743316
Uttar Pradesh,BALLIA,2011,Rabi       ,Potato,7775,212265,27.30096463,20.89612272,12.86702455,5.28464394,27.30096463,72455,6437,69.52290026,20.70819361,17.80626803,6.469480065,25.61624385,103.4636554,66.48743316
Puducherry,PONDICHERRY,2002,Kharif     ,Rice,16931,47982,2.833973185,2.835972177,1.995013791,763.596415,2.833973185,8393,30519,69.52290026,20.70819361,17.80626803,6.469480065,25.61624385,103.4636554,66.48743316
Chhattisgarh,BILASPUR,2010,Kharif     ,Rice,329117,551672,1.676218488,1.431274121,1.995013791,2.179585844,1.676218488,243374,30519,69.52290026,20.70819361,17.80626803,6.469480065,25.61624385,103.4636554,66.48743316
Madhya Pradesh,CHHATARPUR,2011,Rabi       ,Linseed,8535,3737,0.437844171,0.581709315,0.521592271,3.063059939,0.437844171,563.5,146,69.52290026,20.70819361,17.80626803,6.469480065,25.61624385,103.4636554,66.48743316
Chhattisgarh,RAJNANDGAON,2014,Kharif     ,Other Kharif pulses,188,55,0.292553191,0.295277595,0.501818458,2.179585844,0.292553191,66,200,69.52290026,20.70819361,17.80626803,6.469480065,25.61624385,103.4636554,66.48743316
Madhya Pradesh,JHABUA,2003,Rabi       ,Linseed,7,4,0.571428571,0.581709315,0.521592271,3.063059939,0.571428571,563.5,146,69.52290026,20.70819361,17.80626803,6.469480065,25.61624385,103.4636554,66.48743316
Uttar Pradesh,MATHURA,2008,Rabi       ,Garlic,6,35,5.833333333,5.17838749,3.320252292,5.28464394,5.833333333,239.5,162,69.52290026,20.70819361,17.80626803,6.469480065,25.61624385,103.4636554,66.48743316
Uttar Pradesh,BAGHPAT,2001,Rabi       ,Urad,180,87,0.483333333,0.541431909,0.493911727,5.28464394,0.483333333,306,366,69.52290026,20.70819361,17.80626803,6.469480065,25.61624385,103.4636554,66.48743316
Karnataka,TUMKUR,2014,Rabi       ,Potato,32,493,15.40625,11.3746853,12.86702455,4.431194149,15.40625,783,6437,69.52290026,20.70819361,17.80626803,6.469480065,25.61624385,103.4636554,66.48743316
Odisha,SUNDARGARH,2008,Winter     ,Rapeseed &Mustard,1006,282.7,0.281013917,0.186386261,0.770264534,3.72545989,0.281013917,43.4,1175,69.52290026,20.70819361,17.80626803,6.469480065,25.61624385,103.4636554,66.48743316
Karnataka,MYSORE,2004,Whole Year ,Coconut ,19404,523519.92,26.98,8.424818153,4040.403568,4.431194149,26.98,21242.97,224100,69.52290026,20.70819361,17.80626803,6.469480065,25.61624385,103.4636554,66.48743316
Karnataka,RAMANAGARA,2013,Kharif     ,Cowpea(Lobia),1327,495,0.373021854,0.405638953,0.495117722,4.431194149,0.373021854,100,88,69.52290026,20.70819361,17.80626803,6.469480065,25.61624385,103.4636554,66.48743316
Madhya Pradesh,HARDA,2012,Whole Year ,Potato,33,361,10.93939394,12.31117344,12.86702455,3.063059939,10.93939394,5191,6437,69.52290026,20.70819361,17.80626803,6.469480065,25.61624385,103.4636554,66.48743316
Madhya Pradesh,DATIA,1997,Kharif     ,Bajra,200,300,1.5,1.019267099,1.173871632,3.063059939,1.5,79,1649,69.52290026,20.70819361,17.80626803,6.469480065,25.61624385,103.4636554,66.48743316
